date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5,qqq_intraday,qqq_simple_investment
2018-05-22,7835.961439819231,11745.242051586267,15011.160739310773,17419.645179362276,17553.998624375738,9531.11955025975,10628.608414654082
2018-05-23,7468.960714156811,11195.148436511974,14308.106375570902,16603.788379822523,16731.8493217151,9685.308526134348,10718.347563400259
2018-05-24,7473.913605877075,11189.0907021061,14300.364208616551,16594.80401121797,16722.795658882056,9685.308526134348,10715.186846131624
2018-05-25,7454.102038996022,11159.431084605487,14262.457345240497,16550.81513378598,16678.467506042078,9696.163432516634,10725.931082952016
2018-05-29,7460.904364396525,11169.61475007248,14275.472712532972,16565.918767945346,16693.68763082227,9697.311492289546,10678.534335968634
2018-05-30,7543.054682620597,11043.697342412512,14114.542317232534,16379.1676943014,16505.496192013266,9731.621540945118,10755.003076144563
2018-05-31,7548.103581337211,11035.798933649898,14104.447652260997,16367.453378196036,16493.69152626481,9725.33210703679,10748.053101251147
2018-06-01,7302.136865855754,10676.1802311277,13644.83225015066,15834.094408641788,15956.218889971049,9828.890355661219,10916.789163643987
2018-06-04,7167.8684369220555,10479.871400852368,13393.937173415216,16127.119279174727,16251.503789363667,9892.456931756911,11015.37792039817
2018-06-05,7152.274814506706,10504.134267895459,13424.946649046344,16164.456583793452,16289.129067442895,9899.81722428631,11049.502257090424
2018-06-06,7247.560217378453,10644.074453569709,13603.7990398118,16379.80579753809,16506.139216783504,9947.330708523468,11113.964675431474
2018-06-07,7413.862487355308,10383.537333826509,13270.816154840602,15978.874045034958,16102.115176141924,9864.761093025725,11023.593983747834
2018-06-08,7527.767835732303,10213.678614994355,13053.725990145485,15717.484213572792,15838.709309106885,9911.922948571737,11024.226527545738
2018-06-11,7605.567600477197,10319.23736903226,13188.636741013353,15879.92500623289,16002.402967705406,9946.04155536433,11053.92505937355
2018-06-12,7694.294941572807,10439.622663330512,13342.496746232762,16065.181859713797,16189.088661798232,9984.656385001213,11112.070046619086
2018-06-13,7740.026263662393,10388.945011666061,13277.727508469532,15987.195737373153,16110.501051649322,9968.7807944129,11111.440505402503
2018-06-14,7600.98387569241,10202.317256965473,13039.20545741918,15700.000604366449,15821.090853116699,10023.52647335866,11223.930212803956
2018-06-15,7589.527984395209,10218.604854138026,13060.022034731124,15725.065036202088,15846.348600759275,10026.359271266256,11184.747527449357
2018-06-18,7465.846787612472,10052.079441700222,12847.192046016988,15468.80471709361,15588.111808746902,10084.063798422003,11178.286973310966
2018-06-19,7695.317363458628,10361.040571436439,13242.063872438226,15944.25453907132,16067.22865843132,10184.169306310938,11146.621750719103
2018-06-20,7625.306894647784,10266.77788238622,13121.590205668508,15799.196878367107,15921.052203616176,10209.51323154337,11225.7858080592
2018-06-21,7883.79187412737,9931.956966135633,12693.667939729161,15283.952306463618,15401.833676873368,10095.181031332859,11128.2549607898
2018-06-22,7726.92593814866,10126.261617090882,12942.001548783306,15582.961155198045,15703.14870742168,10039.065126011319,11103.555726858389
2018-06-25,8033.328913345615,10527.807679772928,13455.202763767504,16200.886795815128,16325.840256742655,9902.691440364642,10853.387657369049
2018-06-26,8044.461444570771,10542.397042288983,13473.84888999042,16223.337871835432,16314.407595498436,9906.722027168735,10897.721771406888
2018-06-27,7625.336045104029,9993.12641651347,12771.846358524117,15378.08390262087,15464.408792267008,9730.716768804836,10749.524366097543
2018-06-28,7850.422545197198,10288.105921256192,13148.848785638615,14913.956621857666,14997.676132540639,9826.577309017608,10841.990859541957
2018-06-29,7927.549503535977,10188.204510099918,13021.168476083116,14769.136445641487,14852.043008117807,9806.011214360982,10871.11990177957
2018-07-02,8316.37822389242,10687.91334454175,13659.8279097256,15493.529831310922,15580.502776795314,9965.177809174485,10943.955518559314
2018-07-03,8692.495832008157,10209.83668430184,13048.815760205453,14800.495114589225,14883.577708985615,9812.928395301195,10817.288623029226
2018-07-05,8837.647820125698,10023.943299293542,12811.232279977623,14531.018312782979,14612.588198878033,9870.58067593699,10951.55605273855
2018-07-06,8489.21009245049,9628.734065271216,13305.731556647825,15091.899412111949,15176.617804829204,10000.995876277046,11121.917512485494
